filter1,size2,env_id,noop_max,discount_factor,units6,pre_training_start,filter2,strides3,update_target_freq,units5,units2,pre_iterations,filter4,strides4,double,episodes,batch_size,strides2,frame_stack,strides1,train_freq,eval_freq,units3,size4,optimizer,pre_train_freq,units7,max_size,units4,size1,iterations,size3,grad_clip,filter3,units8,eval_episodes,training_start,units1,steps,epsilon,Mean Reward 100 episdoes,episode,learning rate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15551735,5.775302741935484,18.89,8300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15733927,5.72240829032258,18.45,8400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15917008,5.669255741935483,18.35,8500,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16095822,5.617342,18.74,8600,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16272942,5.565920064516129,18.92,8700,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16454251,5.513281967741935,18.58,8800,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16633486,5.461245999999999,18.73,8900,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16811668,5.409515741935484,18.83,9000,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16989881,5.357776483870967,18.75,9100,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17166450,5.306514516129032,18.78,9200,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342289,5.255464483870967,18.96,9300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17520136,5.203831483870967,18.88,9400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17696323,5.152680419354837,19.13,9500,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17873787,5.101158612903226,18.89,9600,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18050407,5.049881838709677,19.01,9700,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18227004,4.998611741935483,19.09,9800,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18405189,4.946880612903224,19.08,9900,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18579333,4.896322677419354,19.38,10000,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18754454,4.845481096774193,19.28,10100,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18930817,4.79427893548387,19.28,10200,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106067,4.743399903225805,19.07,10300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19281863,4.692362354838709,19.17,10400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19457074,4.6414946451612895,19.15,10500,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19631334,4.590903032258064,19.29,10600,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19807128,4.5398660645161275,18.98,10700,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19983712,4.488599741935483,19.14,10800,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20159307,4.4376205483870965,19.06,10900,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20333147,4.387150870967741,19.38,11000,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20506256,4.336893419354838,19.28,11100,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20682436,4.2857443870967735,19.32,11200,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20856615,4.235176290322579,19.46,11300,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21031225,4.184483064516129,19.23,11400,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21205510,4.133884193548386,19.21,11500,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21380753,4.083007193548386,19.33,11600,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21555118,4.032385096774193,19.25,11700,0.0001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21729056,3.981886967741935,19.56,11800,0.0001
